left_right,left,right,imprinting,cond_name,correct_monitor
1C_60-2B_60,1C_60,2B_60,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_00-1B_00,2C_00,1B_00,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_00-2C_00,1B_00,2C_00,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_30-1B_30,2C_30,1B_30,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_30-2C_30,1B_30,2C_30,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_60-1B_60,2C_60,1B_60,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_60-2C_60,1B_60,2C_60,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_00-1C_00,2C_00,1C_00,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_00-2C_00,1C_00,2C_00,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_30-1C_30,2C_30,1C_30,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_30-2C_30,1C_30,2C_30,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_60-1C_60,2C_60,1C_60,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_60-2C_60,1C_60,2C_60,fork_A,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_00-White,2A_00,White,fork_A,Rest,left
White-2A_00,White,2A_00,fork_A,Rest,right
2B_00-1A_00,2B_00,1A_00,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_00-2B_00,1A_00,2B_00,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_30-1A_30,2B_30,1A_30,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_30-2B_30,1A_30,2B_30,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_60-1A_60,2B_60,1A_60,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_60-2B_60,1A_60,2B_60,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_00-1C_00,2B_00,1C_00,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_00-2B_00,1C_00,2B_00,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_30-1C_30,2B_30,1C_30,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_30-2B_30,1C_30,2B_30,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_60-1C_60,2B_60,1C_60,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_60-2B_60,1C_60,2B_60,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_00-1B_00,2A_00,1B_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_00-2A_00,1B_00,2A_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2A_30-1B_30,2A_30,1B_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_30-2A_30,1B_30,2A_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2A_60-1B_60,2A_60,1B_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_60-2A_60,1B_60,2A_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2C_00-1B_00,2C_00,1B_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_00-2C_00,1B_00,2C_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2C_30-1B_30,2C_30,1B_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_30-2C_30,1B_30,2C_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2C_60-1B_60,2C_60,1B_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_60-2C_60,1B_60,2C_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_00-1B_00,2B_00,1B_00,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_00-2B_00,1B_00,2B_00,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_30-1B_30,2B_30,1B_30,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_30-2B_30,1B_30,2B_30,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_60-1B_60,2B_60,1B_60,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1B_60-2B_60,1B_60,2B_60,fork_B,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2A_00-1A_00,2A_00,1A_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_00-2A_00,1A_00,2A_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_30-1A_30,2A_30,1A_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_30-2A_30,1A_30,2A_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_60-1A_60,2A_60,1A_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_60-2A_60,1A_60,2A_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_00-1C_00,2A_00,1C_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_00-2A_00,1C_00,2A_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_30-1C_30,2A_30,1C_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_30-2A_30,1C_30,2A_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_60-1C_60,2A_60,1C_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_60-2A_60,1C_60,2A_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_00-1A_00,2C_00,1A_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_00-2C_00,1A_00,2C_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_30-1A_30,2C_30,1A_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_30-2C_30,1A_30,2C_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_60-1A_60,2C_60,1A_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_60-2C_60,1A_60,2C_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_00-1C_00,2C_00,1C_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_00-2C_00,1C_00,2C_00,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_30-1C_30,2C_30,1C_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_30-2C_30,1C_30,2C_30,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_60-1C_60,2C_60,1C_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1C_60-2C_60,1C_60,2C_60,fork_B,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_00-White,2B_00,White,fork_B,Rest,left
White-2B_00,White,2B_00,fork_B,Rest,right
2C_00-1A_00,2C_00,1A_00,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_00-2C_00,1A_00,2C_00,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_30-1A_30,2C_30,1A_30,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_30-2C_30,1A_30,2C_30,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_60-2A_60,2C_60,2A_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
2A_60-2C_60,2A_60,2C_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_00-1B_00,2C_00,1B_00,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_00-2C_00,1B_00,2C_00,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_30-1B_30,2C_30,1B_30,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_30-2C_30,1B_30,2C_30,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_60-1B_60,2C_60,1B_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_60-2C_60,1B_60,2C_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_00-1C_00,2A_00,1C_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_00-2A_00,1C_00,2A_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2A_30-1C_30,2A_30,1C_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_30-2A_30,1C_30,2A_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2A_60-2C_60,2A_60,2C_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
2C_60-2A_60,2C_60,2A_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_00-1C_00,2B_00,1C_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_00-2B_00,1C_00,2B_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_30-1C_30,2B_30,1C_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_30-2B_30,1C_30,2B_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_60-1C_60,2B_60,1C_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_60-2B_60,1C_60,2B_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2C_00-1C_00,2C_00,1C_00,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_00-2C_00,1C_00,2C_00,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2C_30-1C_30,2C_30,1C_30,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_30-2C_30,1C_30,2C_30,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2C_60-1C_60,2C_60,1C_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,left
1C_60-2C_60,1C_60,2C_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
2B_00-1B_00,2B_00,1B_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_00-2B_00,1B_00,2B_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_30-1B_30,2B_30,1B_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_30-2B_30,1B_30,2B_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_60-1B_60,2B_60,1B_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_60-2B_60,1B_60,2B_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_00-1A_00,2B_00,1A_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_00-2B_00,1A_00,2B_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_30-1A_30,2B_30,1A_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_30-2B_30,1A_30,2B_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2B_60-1A_60,2B_60,1A_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_60-2B_60,1A_60,2B_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_00-1B_00,2A_00,1B_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_00-2A_00,1B_00,2A_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_30-1B_30,2A_30,1B_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_30-2A_30,1B_30,2A_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_60-1B_60,2A_60,1B_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1B_60-2A_60,1B_60,2A_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_00-1A_00,2A_00,1A_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_00-2A_00,1A_00,2A_00,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_30-1A_30,2A_30,1A_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_30-2A_30,1A_30,2A_30,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2A_60-1A_60,2A_60,1A_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,left
1A_60-2A_60,1A_60,2A_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Novel Background,right
2C_00-White,2C_00,White,fork_C,Rest,left
White-2C_00,White,2C_00,fork_C,Rest,right
1C_60-2A_60,1C_60,2A_60,fork_C,Familiar ObjectLB Novel BackgroundLB vs.LB Novel ObjectLB Familiar Background,right
1A_60-2C_60,1A_60,2C_60,fork_C,Familiar ObjectLB Familiar BackgroundLB vs.LB Novel ObjectLB Novel Background,right
